QT;[Uw: [U r U', R]]
QR;[L' U': [r U' r', D]]
QW;[D2, r U2 r']
QX;[D, r U2 r']
QV;[D', r U2 r']
RC;[U: [L, U r2 U']]
RD;[L, U r2 U']
RA;[U' L U, r2]
RB;[U': [U' L U, r2]]
RG;[D' L: [L, U r' U']]
RH;[Uw' L' : [L2, U r2 U']]
RE;[4Uw': [U L' U', r]]
RF;[z: [l', U' L' U]]
RK;[Lw' U: [L2, U r2 U']]
RL;[L': [L2, U r2 U']]
RI;[r', D' L' D]
RJ;[z': [r2, U' R U]]
RO;[D' L: [L, U' l' U]]
RP;[x: [U, r' D r]]
RM;[4Uw: [U' R' U, r]]
RN;[z: [U' L' U, l]]
RS;[r': [U' L U, r']]
RT;[Rw' U': [U' L U, r']]
RQ;[L' U': [D, r U' r']]
RW;[Lw2 U : [L', U r2 U']]
RX;[L: [U r2 U', L]]
RV;[R d2 R', D]
WC;[Lw' U Lw: [r U r', D2]]
WD;[Lw U2: [D' L D, r']]
WA;[D' R D: [U R U', r2]]
WB;[Rw2 D' [r2, U R2 U']]
WG;[L2: [r U' r', D2]]
WH;[L: [r U' r', D2]]
WE;[r U' r', D2]
WF;[L': [r U' r', D2]]
WK;[l: [r U2 r', D2]]
WL;[Lw: [D, r U2 r']]
WI;[D2, l U2 l']
WJ;[Rw2 U: [R', U l2 U']]
WO;[R2: [r U r', D2]]
WP;[R: [r U r', D2]]
WM;[r U r', D2]
WN;[R': [r U r', D2]]
WS;[r: [l U2 l', D2]]
WT;[Rw: [l U2 l', D]]
WQ;[r U2 r', D2]
WR;[Lw2 U: [U r2 U', L']]
WX;[l: [D, r U2 r']]
WV;[l: [D', r U2 r']]
XC;[U: [L2, U r2 U']]
XD;[L2, U r2 U']
XA;[U' L2 U, r2]
XB;[U': [U' L2 U, r2]]
XG;[L' Uw L: [U' r U, L2]]
XH;[Uw' L': [L', U r2 U']]
XE;[r U' r', D]
XF;[L' Uw': [U' R U, r]]
XK;[Lw' U: [L', U r2 U']]
XL;[L': [L', U r2 U']]
XI;[x: [U' L' U, r]]
XJ;[R U': [U' L2 U, r2]]
XO;[R2: [r U r', D]]
XP;[R: [r U r', D]]
XM;[r U r', D]
XN;[R': [r U r', D]]
XS;[r': [U' L2 U, r']]
XT;[z: [U' r2 U, L']]
XQ;[r U2 r', D]
XR;[L: [L, U r2 U']]
XW;[l: [r U2 r', D]]
XV;[R2 D: [U' r2 U, R2]]
VC;[U': [R2, U' r2 U]]
VD;[R U: [U R U', r2]]
VA;[U R2 U', r2]
VB;[R2, U' r2 U]
VG;[L2: [r U' r', D']]
VH;[z': [R, U' l U]]
VE;[r U' r', D']
VF;[z': [R, U r U']]
VK;[Rw2: [r D2 r', U']]
VL;[L' U: [U R2 U', r2]]
VI;[Rw: [U R U', r]]
VJ;[R: [R, U' r2 U]]
VO;[R Uw' R': [R2, U' r2 U]]
VP;[R U r: [U R U', r]]
VM;[r U r', D']
VN;[R' Uw: [U' R U, r]]
VS;[r': [U R2 U', r']]
VT;[Rw': [R', U' r' U]]
VQ;[r U2 r', D']
VR;[D, R d2 R']
VW;[l: [r U2 r', D']]
VX;[R2 D: [R2, U' r2 U]]
