RP,4.922
NW,6.047
IW,9.875
VB,2.985
WM,10.765
 ,2.5
MG,8.062
SG,5.141
RP,4.188
NI,4.281
MV,5.875
MC,9.703
HQ,5.469
RW,3.89
MH,6.984
BA,4.047
HS,3.75
RE,5.484
WE,5.984
WP,15.719000000000001
VX,20.656
GS,6.953
BL,3.578
QM,17.0
FH,3.703
BJ,3.062
MS,9.14
CG,9.063
BT,3.594
VQ,18.234
TW,6.796
GS,4.563
FG,3.171
IW,7.344
HJ,18.936999999999998
OB,7.359
DG,15.405999999999999
MH,7.375
GM,4.047
TW,3.593
MC,5.359
SJ,5.422
TL,7.484
IP,4.016
TR,11.532
QE,15.985
SA,4.609
SG,5.281
BG,29.625
WJ,6.578
BQ,18.311999999999998
BS,6.031
GJ,7.563
DG,32.5
TL,4.266
 ,2.718
OH,13.922
SA,4.079
OH,4.421
PQ,5.406
JW,3.422
DP,6.86
VB,3.735
 ,1.437
PX,7.906
HN,9.093
PC,8.984
IP,3.11
NI,2.843
 ,4.765
XJ,17.406
JW,4.438
LI,4.266
IG,3.468
GM,5.297
GJ,17.844
PH,17.843
 ,2.078
WG,16.75
OM,2.953
PH,8.859
GB,9.125
BQ,9.047
PL,6.859
PC,6.14
DG,24.25
MT,4.859
DI,5.375
TW,4.063
XW,13.922
PL,5.563
GF,4.032
EA,4.203
XW,3.672
XJ,8.016
HN,7.75
QE,8.125
BH,8.829
IA,6.25
OC,9.312
 ,1.719
NV,6.14
CA,5.859
EA,5.36
CA,2.969
QJ,18.156
LA,2.5
IA,3.922
XW,4.828
TV,4.25
SJ,4.672
MG,3.797
PE,11.359
LI,4.391
VW,4.391
IG,3.484
MG,3.734
DT,3.844
QB,14.453
DC,4.828
 ,3.219
PE,5.75
TS,3.75
WF,6.813
LA,2.672
DA,5.063
WR,4.141
VW,5.015
RA,5.0
WA,18.5
WG,7.547
LN,19.5
IX,3.875
NF,18.094
SV,5.312
CT,6.734
WF,5.438
JX,16.969
JO,5.828
FV,7.625
QW,9.0
QC,5.516
GB,9.157
NV,5.594
ON,4.063
WR,3.938
PO,3.61
WA,4.797
CT,3.5
GJ,9.453
OM,3.781
PS,5.532
QI,7.969
JX,4.391
BG,6.719
OC,9.109
RJ,7.765
WV,4.047
XH,5.578
JO,6.281
RC,5.438
FV,6.25
OD,18.094
XH,7.109
EM,2.797
LD,3.625
RC,4.078
OL,6.343
QI,6.875
TP,3.922
PX,6.796
RM,5.766
QX,11.125
PO,2.984
LA,2.906
JG,20.811999999999998
LM,6.25
OB,4.719
BV,4.157
 ,5.61
EN,5.438
AE,5.079
HO,7.282
LP,6.547
LT,8.343
PB,9.203
OT,6.234
SH,4.797
MH,4.39
 ,2.406
BX,7.921
IF,4.968
AJ,4.047
DN,8.391
FV,6.172
JC,4.406
BP,5.078
LH,7.765
VH,5.86
EB,3.844
AO,4.078
WE,6.547
XO,5.875
GV,12.688
IV,3.61
AR,2.797
 ,3.016
SN,6.531
HA,5.172
